Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
wheelchair,Q191931,0.492762,0.443402498960495,0.4087397456169128,0.4946722388267517,0.4070999324321747,0.3129723072052002
chair,Q15026,0.6561192,0.5142755508422852,0.5060085654258728,0.5739964246749878,0.4932993352413177,0.49541833996772766
fauteuil,Q981009,0.406282,0.4741021990776062,0.4318955540657043,0.5994645357131958,0.3920846879482269,0.35434460639953613
wing chair,Q1847455,0.34802756,0.3979845345020294,0.3067421913146972,0.3987831473350525,0.3310993909835815,0.2641843855381012
litter,Q476850,0.34469253,0.4566018581390381,0.4017254412174225,0.5289329886436462,0.4184396862983703,0.3177263140678406
rocking chair,Q14963,0.35017005,0.4590064287185669,0.3267728388309479,0.5283207297325134,0.3450393080711365,0.2521350383758545
Bergère,Q820539,0.23415878,0.2477442324161529,0.0356716886162757,0.4166590571403503,0.2774661779403686,0.24113333225250244
electric chair,Q185639,0.30164528,0.3159499168395996,0.0840440317988395,0.3696639537811279,0.2410916984081268,0.25861895084381104
office chair,Q1021686,0.48714593,0.4141257703304291,0.3622145652770996,0.441001147031784,0.3461664915084839,0.24346254765987396
high chair,Q1622390,0.3393373,0.4329783618450165,0.318662941455841,0.563008189201355,0.3916425108909607,0.3162391483783722
folding chair,Q1744391,0.30339283,0.4650470614433288,0.4062690734863281,0.5561636686325073,0.3817505240440368,0.31095874309539795
deckchair,Q1824203,0.3688986,0.4396546483039856,0.3048821687698364,0.5381742715835571,0.3650027215480804,0.2861056625843048
