Concept_name,WikiDataID,transe,distmult,complex,simple,rotate,quate
chair,Q15026,0.657,0.490,0.489,0.530,0.509,0.576
office chair,Q1021686,0.481,0.375,0.255,0.407,0.365,0.431
wheelchair,Q191931,0.489,0.406,0.306,0.429,0.408,0.485
fauteuil,Q981009,0.410,0.398,0.361,0.467,0.421,0.592
wing chair,Q1847455,0.346,0.325,0.285,0.393,0.310,0.378
litter,Q476850,0.346,0.433,0.323,0.439,0.395,0.523
rocking chair,Q14963,0.346,0.364,0.280,0.451,0.335,0.515
Bergère,Q820539,0.225,0.274,0.231,0.257,0.026,0.419
electric chair,Q185639,0.302,0.249,0.277,0.313,0.102,0.363
high chair,Q1622390,0.332,0.368,0.323,0.418,0.307,0.546
folding chair,Q1744391,0.309,0.398,0.328,0.454,0.405,0.538
